,name,funcs,n_heads,d_model,n_layers,attention_dir,act_fn,batch_size,lr,weight_decay,frac,attn_coeff,runid,diff_vocab,eqn_sign,save_embeddings,save_analysis,dist_irr,grad_sym,circ,trainfrac
28,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.6_9,0,0,False,False,0.8191145046038648,0.3624298363178968,0.9955774741617225,0.6
29,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.5_8,0,0,False,False,0.8388994594910408,0.38110862269066276,0.9960049674676987,0.5
30,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.6_1,0,0,False,False,0.8321128999944458,0.3179539011139423,0.9953096471261378,0.6
31,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.6_10,0,0,False,False,0.8973868105959248,0.33715700086206196,0.9952808770631921,0.6
32,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.6_5,0,0,False,False,0.8086139932800247,0.42240080917370504,0.9560886458697685,0.6
33,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.7_6,0,0,False,False,0.804840929994878,0.44051722831092777,0.9949502565858942,0.7
34,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,A_trainfrac_0.8_9,0,0,False,False,0.8506105181793123,0.6007526157121174,0.7911753732252456,0.8
35,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.4_4,0,0,False,False,0.81021653748891,0.2773052970872959,0.9962730353221977,0.4
36,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.4_9,0,0,False,False,0.8050215964238707,0.5388733125478029,0.9404678626969903,0.4
37,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.6_3,0,0,False,False,0.7506904727674041,0.569836747488007,0.992826902767664,0.6
38,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.7_5,0,0,False,False,0.8526663589477546,0.5191003670170903,0.7595950059988877,0.7
39,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.4_2,0,0,False,False,0.7603069052419343,0.5535408005863428,0.9775084376158659,0.4
40,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.7_8,0,0,False,False,0.591178021395651,0.8064532839693129,0.9877752304154094,0.7
41,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,A_trainfrac_0.8_4,0,0,False,False,0.772027642674867,0.33197917143115774,0.9840195669889087,0.8
42,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.4_3,0,0,False,False,0.7981023886193401,0.34234230113215747,0.9965144331492775,0.4
43,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.9_7,0,0,False,False,0.7702745208436355,0.5356040548160672,0.977202491970317,0.9
