,model_type,n_vocab,d_model,d_hidden,lr,weight_decay,frac,runid,save_embeddings,dist_irr,grad_sym,circ
0,A,59,256,256,0.001,2.0,0.8,alpha_repr_7,True,0.4563142639161609,1.0000000047683715,0.9832051265620142
1,A,59,256,256,0.001,2.0,0.8,alpha_repr_5,True,0.39307306851654233,1.000000010728836,0.9791479307615887
2,A,59,256,256,0.001,2.0,0.8,alpha_repr_2,True,0.41563712194123614,1.0000000095367432,0.7644399981502192
3,A,59,256,256,0.001,2.0,0.8,alpha_repr_8,True,0.4620601677036905,1.0000000208616258,0.9918806669762379
4,A,59,256,256,0.001,2.0,0.8,alpha_repr_6,True,0.4235409586454607,1.0000000256299972,0.9765343208412838
5,A,59,256,256,0.001,2.0,0.8,alpha_repr_4,True,0.4571300933288735,1.000000005364418,0.8007059825008829
6,A,59,256,256,0.001,2.0,0.8,alpha_repr_10,True,0.421220885881953,1.0000000011920929,0.9041499111573165
7,A,59,256,256,0.001,2.0,0.8,alpha_repr_3,True,0.38272374918520397,1.0000000143051146,0.9764137719808181
8,A,59,256,256,0.001,2.0,0.8,alpha_repr_9,True,0.4930029479825188,1.0000000178813935,0.952506308906648
9,A,59,256,256,0.001,2.0,0.8,alpha_repr_1,True,0.3945911541048732,1.0000000077486038,0.8876463735497009
