,n_heads,d_model,n_layers,attention_dir,act_fn,batch_size,lr,weight_decay,frac,attn_coeff,runid,diff_vocab,eqn_sign,save_embeddings,dist_irr,grad_sym,circ
0,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.02970471945841391,B_0.030,0,0,False,0.4115397282969913,0.9939036083221435,0.9988560522834797
1,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.98,B_0.980000,0,0,False,0.8326413357528153,0.4422445639548823,0.9965492138972797
2,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.11540458186356384,B_0.115,0,0,False,0.8430270745982633,0.9931551587581634,0.9986545093052004
3,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.2920309459639885,B_0.292,0,0,False,0.37436648240604653,0.9909710121154786,0.9923870328044812
4,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.54,B_0.540000,0,0,False,0.4499632158311854,0.9912086790800094,0.5826781227571194
5,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.2718258965190906,B_0.272,0,0,False,0.17481911508152195,0.9928465276956558,0.9904928142075659
6,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.14148991679865353,B_0.141,0,0,False,0.5426964858390895,0.9921848702430726,0.9087724219524688
7,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.0542640752764697,B_0.054,0,0,False,0.1257460607365505,0.9934172910451889,0.9961815491691213
8,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.65,B_0.650000,0,0,False,0.4311680103888967,0.9168279880285263,0.9808640913268843
9,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.2877214713024753,B_0.288,0,0,False,0.20193062432671374,0.9913872843980789,0.9986423522177408
10,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.33460984716158304,B_0.335,0,0,False,0.16275524247518786,0.9933599799871444,0.9997352352654374
11,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.04806136762140334,B_0.048,0,0,False,0.2580209377295829,0.9942601329088211,0.9977927807857304
12,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.18070697297872684,B_0.181,0,0,False,0.21428800360138,0.9895184934139252,0.9938540521635854
13,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.52,B_0.520000,0,0,False,0.22701936656397206,0.9924922943115234,0.9931889583764775
14,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.1257995218952872,B_0.126,0,0,False,0.4006084413435319,0.9932212924957275,0.8484978197565891
15,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.8,B_0.800000,0,0,False,0.6082258983809073,0.6719699266180396,0.9954758104868191
16,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.15752750038599783,B_0.158,0,0,False,0.4634041702091636,0.9925922745466232,0.9953610908828433
17,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.07582772968628215,B_0.076,0,0,False,0.44325693426785084,0.9924877297878265,0.5922679330721633
18,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.2069922853153925,B_0.207,0,0,False,0.18089709688861105,0.9901378870010376,0.9984423070726618
19,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.25238807769381155,B_0.252,0,0,False,0.545992898685674,0.9901469749212265,0.932133986175231
20,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.18840646989819954,B_0.188,0,0,False,0.5174180456720042,0.99061647772789,0.9379144580372499
21,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.59,B_0.590000,0,0,False,0.4976820761101948,0.8928655800223351,0.9983287828579115
22,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.2819402345870605,B_0.282,0,0,False,0.13459908316918118,0.9924418425559998,0.996260421103334
23,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.93,B_0.930000,0,0,False,0.5960933112570825,0.587753780502826,0.9285873675985986
24,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.62,B_0.620000,0,0,False,0.4318220039484874,0.8875396537780762,0.9940102282634313
25,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.16379569927461524,B_0.164,0,0,False,0.5406158994218863,0.9910322743654251,0.8938821670717383
26,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.58,B_0.580000,0,0,False,0.5182334455685877,0.9302948045730591,0.9350667138235418
27,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.75,B_0.750000,0,0,False,0.712504867281008,0.5153590633999556,0.9967093120086418
28,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.27557469461279727,B_0.276,0,0,False,0.6735038807186801,0.9929440248012543,0.9646324520296435
29,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.11733614071230747,B_0.117,0,0,False,0.16170847662342425,0.993254531621933,0.9990126264760617
30,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.79,B_0.790000,0,0,False,0.6130390595915622,0.7546916700899601,0.9932110075153344
31,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.86,B_0.860000,0,0,False,0.7240185863215112,0.4201446709409356,0.9977684428958603
32,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.66,B_0.660000,0,0,False,0.5946259279500606,0.8181797897815705,0.9971818370000987
33,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.14039893900477374,B_0.140,0,0,False,0.48023240992388727,0.9902239805459976,0.9940370653034332
34,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.78,B_0.780000,0,0,False,0.6701816948789757,0.6205495683848858,0.9532998650895352
35,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.53,B_0.530000,0,0,False,0.22852660526059082,0.9939921742677689,0.8488508303101373
36,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.72,B_0.720000,0,0,False,0.6645027287384608,0.6213582473620772,0.9851205223318653
37,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.2932767280891212,B_0.293,0,0,False,0.15517045688411316,0.9931932866573334,0.9993910945305328
38,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.07981989018574787,B_0.080,0,0,False,0.1291226650480801,0.9954159605503082,0.9682908990354006
39,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.46,B_0.460000,0,0,False,0.2642588030205581,0.9934170991182327,0.9882219751578971
40,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.63,B_0.630000,0,0,False,0.47468348434508895,0.9678724122047424,0.9947954167303126
41,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.23693306840812856,B_0.237,0,0,False,0.15734328904282813,0.9932688826322555,0.8985957829981698
42,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.45,B_0.450000,0,0,False,0.2445884086273905,0.9944578421115875,0.9681277163429477
43,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.1770189270489334,B_0.177,0,0,False,0.6021036996527024,0.9916562765836716,0.7192088778024858
44,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.51,B_0.510000,0,0,False,0.27742668747650684,0.99207444190979,0.9873534033721869
45,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.22418700578291695,B_0.224,0,0,False,0.336504520640232,0.9903453022241593,0.9922608071877639
46,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.37803182234258037,B_0.378,0,0,False,0.19469190407494846,0.9932569587230682,0.9956051965101933
47,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.67,B_0.670000,0,0,False,0.5758745319727846,0.8298886340484023,0.949147337249405
48,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.20516666664862482,B_0.205,0,0,False,0.46404363383672076,0.9915349727869034,0.9944400455205155
49,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.85,B_0.850000,0,0,False,0.7065675104312069,0.6074133893102407,0.9613390590887279
50,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.11892718981751205,B_0.119,0,0,False,0.30143610325645853,0.992359926700592,0.9928284383492624
51,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.91,B_0.910000,0,0,False,0.7616196433118351,0.5170255899243057,0.9500342536407733
52,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.74,B_0.740000,0,0,False,0.6066580767569925,0.7152346646785737,0.9704653438595566
