,name,funcs,n_heads,d_model,n_layers,attention_dir,act_fn,batch_size,lr,weight_decay,frac,trainfrac,attn_coeff,runid,diff_vocab,eqn_sign,save_embeddings,dist_irr,grad_sym,circ,save_analysis
25,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.7,0,A_frac0.7_5,0,0,False,0.41127889741218737,0.9913592904806137,0.859965061692034,
26,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.5,0,A_frac0.5_5,0,0,False,0.4717589916935126,0.9910003250837326,0.7017381549789128,
27,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.5,0,A_frac0.5_2,0,0,False,0.5690190874291151,0.9916044545173645,0.9710621790609717,
28,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.8,0,A_trainfrac_0.8_9,0,0,False,0.20454689592616238,0.9940846067667007,0.9998000091805495,False
29,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.9,0,A_trainfrac_0.9_2,0,0,False,0.6551813438649607,0.9971044796705246,0.9959951858748785,False
30,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.4,0,A_frac0.4_4,0,0,False,0.49010303773558467,0.9952252370119095,0.9252052625660253,
31,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.4,0,A_frac0.4_1,0,0,False,0.800030358067656,0.9947254538536072,0.979569867405468,
32,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.4,0,A_frac0.4_5,0,0,False,0.5925321035540116,0.9942658048868179,0.8911321315495597,
33,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.9,0,A_trainfrac_0.9_8,0,0,False,0.5316246451799131,0.9922523653507233,0.8420375337970321,False
34,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.9,0,A_trainfrac_0.9_4,0,0,False,0.46921795467411404,0.9909480601549149,0.8177967489408428,False
35,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.8,0,A_trainfrac_0.8_4,0,0,False,0.5640267344518134,0.9921022516489029,0.99410354626737,False
36,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.5,0,A_frac0.5_6,0,0,False,0.4408386805022598,0.9945100355148315,0.9971909370052976,
37,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.9,0,A_trainfrac_0.9_3,0,0,False,0.349013440761998,0.9919524192810059,0.9988946378547809,False
38,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.6,0,A_frac0.6_0,0,0,False,0.3320301251438122,0.9950786799192428,0.9726258324416642,
39,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.6,0,A_frac0.6_7,0,0,False,0.4093715024252744,0.9937798058986664,0.9963916214591487,
40,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.9,0,A_trainfrac_0.9_10,0,0,False,0.6227348337118331,0.9919120264053345,0.6689713371034516,False
