,n_heads,d_model,n_layers,attention_dir,act_fn,batch_size,lr,weight_decay,frac,attn_coeff,runid,diff_vocab,eqn_sign,save_embeddings,save_analysis,dist_irr,grad_sym,circ
52,4,134,1,casual,ReLU,3481,0.001,2.0,0.8,0.8157849479424425,B_d_134_attn_0.815785,0,0,False,False,0.8256404967207359,0.6995714092254639,0.9887197200883584
53,4,180,1,casual,ReLU,3481,0.001,2.0,0.8,0.5682642961319048,B_d_180_attn_0.568264,0,0,False,False,0.1533419665006005,0.9925200736522675,0.9930456803638387
54,4,393,1,casual,ReLU,3481,0.001,2.0,0.8,0.48962860495268967,B_d_393_attn_0.489629,0,0,False,False,0.290246251001898,0.9921840643882751,0.9709121686141978
55,4,50,1,casual,ReLU,3481,0.001,2.0,0.8,0.6610257520863233,B_d_50_attn_0.661026,0,0,False,False,0.5658111421796119,0.9973518919944763,0.9098824957291806
56,4,38,1,casual,ReLU,3481,0.001,2.0,0.8,0.8579931892146164,B_d_38_attn_0.857993,0,0,False,,0.9886255637157578,0.18241937388898805,0.9950921048950934
57,4,43,1,casual,ReLU,3481,0.001,2.0,0.8,0.8006821152185878,B_d_43_attn_0.800682,0,0,False,False,0.9136943479194265,0.40782933972775937,0.7887147324348238
58,4,386,1,casual,ReLU,3481,0.001,2.0,0.8,0.8402086323226241,B_d_386_attn_0.840209,0,0,False,False,0.5870392747481857,0.9931059193611145,0.9642265176619631
59,4,150,1,casual,ReLU,3481,0.001,2.0,0.8,0.5573296707598326,B_d_150_attn_0.557330,0,0,False,False,0.42272816398483,0.8383870214223862,0.9706907512680236
60,4,44,1,casual,ReLU,3481,0.001,2.0,0.8,0.6215260277847093,B_d_44_attn_0.621526,0,0,False,False,0.7625190762858001,0.6175188600644469,0.9448459646962728
61,4,322,1,casual,ReLU,3481,0.001,2.0,0.8,0.40633315924238145,B_d_322_attn_0.406333,0,0,False,False,0.1297376172983296,0.9926524972915649,0.9136221860370746
62,4,164,1,casual,ReLU,3481,0.001,2.0,0.8,0.5773722416160143,B_d_164_attn_0.577372,0,0,False,False,0.22234653454237702,0.9919216650724411,0.9737893328073162
63,4,271,1,casual,ReLU,3481,0.001,2.0,0.8,0.054359198547793225,B_d_271_attn_0.054359,0,0,False,,0.16209775653559874,0.9935754257440567,0.9982220239546092
64,4,266,1,casual,ReLU,3481,0.001,2.0,0.8,0.9761545282757337,B_d_266_attn_0.976155,0,0,False,,0.783724512712942,0.5659125004708767,0.9914104197309795
65,4,465,1,casual,ReLU,3481,0.001,2.0,0.8,0.9343483420491356,B_d_465_attn_0.934348,0,0,False,,0.41049280658546666,0.9903208243846894,0.8571560319498543
66,4,142,1,casual,ReLU,3481,0.001,2.0,0.8,0.9457025214535688,B_d_142_attn_0.945703,0,0,False,,0.6811085855918244,0.5695100302435457,0.9704805646413588
67,4,127,1,casual,ReLU,3481,0.001,2.0,0.8,0.711838190043131,B_d_127_attn_0.711838,0,0,False,False,0.42210377115438125,0.8849186927080155,0.975674164547035
68,4,305,1,casual,ReLU,3481,0.001,2.0,0.8,0.4730396126729566,B_d_305_attn_0.473040,0,0,False,False,0.3840814596683635,0.9930122452974319,0.997992598804764
69,4,108,1,casual,ReLU,3481,0.001,2.0,0.8,0.06309643852492026,B_d_108_attn_0.063096,0,0,False,,0.23675484868017266,0.9917199963331222,0.9234703820582737
70,4,75,1,casual,ReLU,3481,0.001,2.0,0.8,0.6151253759019599,B_d_75_attn_0.615125,0,0,False,False,0.481342730997837,0.7748588091135025,0.9970852072550358
71,4,42,1,casual,ReLU,3481,0.001,2.0,0.8,0.7887386787803795,B_d_42_attn_0.788739,0,0,False,False,0.7174634615849691,0.4312089973501861,0.9981590994818517
72,4,196,1,casual,ReLU,3481,0.001,2.0,0.8,0.2605875835327704,B_d_196_attn_0.260588,0,0,False,,0.4569034659656993,0.9903196424245835,0.9740247256723114
73,4,136,1,casual,ReLU,3481,0.001,2.0,0.8,0.03432081516755334,B_d_136_attn_0.034321,0,0,False,,0.5025301808774592,0.9956377160549164,0.9975252101708711
74,4,113,1,casual,ReLU,3481,0.001,2.0,0.8,0.03366806029649468,B_d_113_attn_0.033668,0,0,False,,0.15210072120498624,0.9935426169633865,0.981079113311495
75,4,48,1,casual,ReLU,3481,0.001,2.0,0.8,0.41431503722184637,B_d_48_attn_0.414315,0,0,False,,0.31782414579653606,0.9372748768329621,0.9973585283228629
76,4,37,1,casual,ReLU,3481,0.001,2.0,0.8,0.46552581374833046,B_d_37_attn_0.465526,0,0,False,,0.4240669259058018,0.9989352405071259,0.5492681936193433
77,4,234,1,casual,ReLU,3481,0.001,2.0,0.8,0.6883992991950537,B_d_234_attn_0.688399,0,0,False,False,0.23634975042935932,0.9910901373624802,0.9961158311315701
78,4,55,1,casual,ReLU,3481,0.001,2.0,0.8,0.7206304265926164,B_d_55_attn_0.720630,0,0,False,False,0.968587228476494,0.3454373222589493,0.9646129405750408
79,4,54,1,casual,ReLU,3481,0.001,2.0,0.8,0.12373295765188652,B_d_54_attn_0.123733,0,0,False,,0.35513163990109076,0.9938787621259689,0.9627498890319656
80,4,81,1,casual,ReLU,3481,0.001,2.0,0.8,0.20539128351691965,B_d_81_attn_0.205391,0,0,False,,0.5667801795496442,0.9912041294574737,0.6954932235398146
81,4,90,1,casual,ReLU,3481,0.001,2.0,0.8,0.5931667362925901,B_d_90_attn_0.593167,0,0,False,False,0.6590561089094651,0.9448164832592011,0.9951058806267992
82,4,176,1,casual,ReLU,3481,0.001,2.0,0.8,0.6863942555174071,B_d_176_attn_0.686394,0,0,False,False,0.5173951435137899,0.884389551281929,0.917850481132198
83,4,164,1,casual,ReLU,3481,0.001,2.0,0.8,0.33103879904886735,B_d_164_attn_0.331039,0,0,False,False,0.1200637646103284,0.9944951903820037,0.9999470388730642
84,4,447,1,casual,ReLU,3481,0.001,2.0,0.8,0.1532644958675118,B_d_447_attn_0.153264,0,0,False,,0.5720629689442805,0.9908356982469558,0.606022722270708
85,4,147,1,casual,ReLU,3481,0.001,2.0,0.8,0.1609271794240066,B_d_147_attn_0.160927,0,0,False,,0.7262106391256699,0.9932706952095032,0.9926222908071591
86,4,350,1,casual,ReLU,3481,0.001,2.0,0.8,0.8882444304583785,B_d_350_attn_0.888244,0,0,False,,0.562824863255507,0.8447008886933327,0.9758643612630293
87,4,39,1,casual,ReLU,3481,0.001,2.0,0.8,0.8918693926336584,B_d_39_attn_0.891869,0,0,False,,0.6746073841767849,0.4659674403071403,0.9879947856852299
