Unnamed: 0,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,dist_irr,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,grad_sym,circ
812,59,ReLU,casual,0.304173102,3481,243,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,rugbbmt67z,2,1.0,1.0,0.997881627,74.48064774,74.50202219,0.0,0.034996015,0.033657704,26.175196,0.010778256,0.019938936,1.0,0.082322114,0.992826402,0.113305964,0.148965607,0.982963788
5017,59,ReLU,casual,0.572144908,3481,159,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,da4s9lksi1,2,1.0,1.0,0.376425504,49.47435444,49.47435444,0.0,0.189015839,0.189362027,13.83241851,0.186825034,0.186521488,1.0,1.86e-08,1.0,2.48e-08,0.996934538,0.991303229
5736,59,ReLU,casual,0.338227499,3481,494,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,8d3spfn748,2,1.0,1.0,0.733200279,68.27039605,68.27073051,0.0,0.130626652,0.128825681,53.38204121,0.117222233,0.110637151,0.234195396,2.081429464,0.232424676,2.116826792,-0.670805153,0.975914055
1056,59,ReLU,casual,0.051023318,3481,309,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,2nlf4qaf8c,2,1.0,1.0,0.809889075,263.0671052,263.0762567,0.0,0.104525617,0.100353904,27.74823554,0.10061915,0.098742058,0.959770083,0.695902584,0.951219499,0.706915117,-0.568992909,0.492405458
1302,59,ReLU,casual,0.002642505,3481,400,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,co7ed9wdnx,2,1.0,1.0,0.734604502,66.92473804,66.98980859,0.0,0.147443929,0.14601844,24.56918038,0.102073511,0.103088443,1.0,1.37e-07,1.0,9.12e-07,0.992423128,0.919427968
1966,59,ReLU,casual,0.83125134,3481,256,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,echlm7w7z9,2,1.0,1.0,0.947149074,289.5005598,289.5066167,0.0,0.071015934,0.070380378,29.36805399,0.04878915,0.047119501,1.0,0.000168997,1.0,0.001251263,0.478442846,0.435125357
2149,59,ReLU,casual,0.124152451,3481,402,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,tyus4slipd,2,1.0,1.0,0.763512872,84.49264133,84.53662087,0.0,0.140681956,0.141616802,29.17530692,0.116249602,0.115399619,0.520114958,1.206722906,0.510760427,1.233282905,0.410164652,0.923982109
2834,59,ReLU,casual,0.103242043,3481,52,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,ybfuhx5uuv,2,1.0,1.0,0.199404919,17.06212476,17.06212476,0.0,0.205848359,0.204591844,24.04822994,0.202469064,0.201004284,1.0,1.96e-07,1.0,2.49e-07,0.996245533,0.995638721
5497,59,ReLU,casual,0.809896565,3481,44,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,3nbdy8s4l9,2,0.908177912,0.960129321,0.997126704,1730.509047,739.049793,0.051951408,0.065904659,0.03915165,33.90144308,0.012191245,0.014500149,0.892600596,0.719370386,0.83070302,0.828318183,0.777874423,0.416398782
2932,59,ReLU,casual,0.091941277,3481,56,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,j4dqu2un7l,2,0.984218061,1.0,0.997971297,500.72703,185.5388175,0.015781939,0.02957907,0.028120728,23.02596956,0.011745117,0.017631906,1.0,0.081764286,0.961262584,0.172118803,0.974126357,0.449008131
1512,59,ReLU,casual,0.856088142,3481,264,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,u5fjd67rze,2,1.0,1.0,0.744290544,55.96651789,55.99534887,0.0,0.129867373,0.128825466,38.61129265,0.104178288,0.108754155,1.0,0.050613128,1.0,0.057062165,0.834038523,0.895975898
3008,59,ReLU,casual,0.099988066,3481,350,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,sacmsc95x8,2,1.0,1.0,0.650813928,112.0659454,112.0659454,0.0,0.148461288,0.144449292,31.75058718,0.144373445,0.148403257,0.931393683,0.633022383,0.954088986,0.63278422,-0.682867089,0.99290694
1108,59,ReLU,casual,0.328362328,3481,268,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,eeyc2bnjxp,2,1.0,1.0,0.920512964,192.632336,192.6351621,0.0,0.102871514,0.090871033,30.84003083,0.077524239,0.073849657,0.803879321,0.584900347,0.822094679,0.59285243,0.915442677,0.466381112
